780,0.1%
1207,0.2%
1368,0.3%
1455,0.4%
1548,0.5%
1614,0.7%
1644,0.9%
1690,1.2%
1713,1.3%
1742,1.5%
1770,1.6%
1850,2.3%
1874,2.5%
1878,2.4%
1887,2.6%
1906,2.8%
1921,2.9%
1930,3.0%
1947,3.2%
1952,3.4%
1960,3.5%
1979,3.6%
1999,3.9%
2001,3.8%
2007,3.9%
2036,4.0%
2051,4.4%
2065,4.5%
2079,4.7%
2083,4.8%
2101,5.0%
2105,5.1%
2135,5.2%
2143,5.4%
2145,5.5%
2149,5.4%
2159,5.5%
2160,5.6%
2166,5.8%
2175,5.9%
2189,6.2%
2205,6.4%
2210,6.6%
2232,6.7%
2238,6.8%
2247,6.9%
2260,7.1%
2269,7.4%
2278,7.5%
2286,7.6%
2293,7.7%
2305,7.9%
2323,8.0%
2327,8.2%
2339,8.5%
2351,8.8%
2356,8.9%
2362,9.0%
2364,9.1%
2367,9.2%
2375,9.3%
2383,9.4%
2388,9.5%
2394,9.6%
2398,9.7%
2405,9.9%
2419,10.0%
2422,10.2%
2429,10.5%
2432,10.6%
2438,10.7%
2443,10.8%
2450,11.0%
2455,11.1%
2461,11.2%
2467,11.3%
2471,11.4%
2475,11.6%
2484,11.7%
2493,12.0%
2498,12.1%
2503,12.3%
2514,12.4%
2519,12.5%
2521,12.7%
2531,12.8%
2539,13.0%
2542,13.1%
2556,13.4%
2562,13.5%
2580,13.6%
2584,13.7%
2592,13.9%
2597,14.0%
2599,14.1%
2600,14.2%
2601,14.1%
2604,14.3%
2609,14.4%
2616,14.6%
2618,14.7%
2635,15.0%
2637,14.9%
2639,15.1%
2643,15.4%
2648,15.6%
2656,15.7%
2660,15.9%
2662,16.0%
2665,16.2%
2669,16.3%
2678,16.4%
2682,16.6%
2692,16.7%
2696,16.8%
2699,16.9%
2703,16.8%
2709,17.2%
2710,17.3%
2719,17.4%
2725,17.7%
2731,17.8%
2733,17.9%
2737,18.0%
2742,18.1%
2751,18.3%
2764,18.4%
2772,18.5%
2776,18.7%
2788,18.9%
2790,19.0%
2792,19.1%
2803,19.4%
2807,19.5%
2808,19.4%
2817,19.8%
2822,19.7%
2826,20.0%
2834,20.1%
2837,20.2%
2843,20.3%
2845,20.2%
2846,20.3%
2849,20.4%
2861,20.7%
2867,21.0%
2871,21.1%
2877,21.2%
2887,21.3%
2891,21.4%
2892,21.5%
2893,21.6%
2901,21.7%
2907,21.8%
2912,21.9%
2916,22.0%
2918,22.1%
2920,22.3%
2926,22.6%
2931,22.7%
2943,22.8%
2950,22.9%
2953,23.0%
2956,23.2%
2959,23.3%
2964,23.2%
2966,23.3%
2967,23.4%
2970,23.5%
2974,23.6%
2977,23.7%
2981,23.8%
2986,24.1%
2990,24.4%
2998,24.6%
3001,24.7%
3005,24.8%
3016,25.0%
3019,25.1%
3023,25.2%
3024,25.3%
3028,25.4%
3031,25.5%
3035,25.6%
3042,25.7%
3043,25.8%
3046,25.9%
3060,26.2%
3066,26.5%
3071,26.6%
3078,26.7%
3089,27.0%
3099,27.1%
3106,27.2%
3111,27.4%
3116,27.5%
3120,27.6%
3126,27.7%
3128,27.9%
3130,28.0%
3132,28.1%
3141,28.2%
3144,28.6%
3150,28.7%
3151,28.8%
3157,28.9%
3159,29.0%
3163,29.1%
3169,29.2%
3176,29.3%
3177,29.5%
3183,29.6%
3189,29.8%
3195,29.9%
3197,30.0%
3204,30.1%
3207,30.2%
3208,30.3%
3214,30.4%
3228,30.5%
3238,30.6%
3243,30.7%
3247,30.8%
3253,31.0%
3257,31.2%
3262,31.3%
3266,31.6%
3273,31.8%
3276,31.9%
3284,32.1%
3286,32.0%
3287,32.1%
